"Année","Canton (-) / District (>>) / Commune (......)","Durée du mariage","Nationalité (catégorie) partenaire 1","Nationalité (catégorie) partenaire 2 - total","Suisse","Étranger"
"1987","Suisse","5-9 ans","Suisse",2175,2175,0
"1987","Suisse","5-9 ans","Étranger",681,455,226
"1987","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",1915,1789,126
"1987","Suisse","10-14 ans","Suisse",1574,1574,0
"1987","Suisse","10-14 ans","Étranger",341,215,126
"1987","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1858,1698,160
"1987","Suisse","15-19 ans","Suisse",1527,1527,0
"1987","Suisse","15-19 ans","Étranger",331,171,160
"1987","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",2488,2245,243
"1987","Suisse","20 ans ou plus","Suisse",2084,2084,0
"1987","Suisse","20 ans ou plus","Étranger",404,161,243
"1988","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",12731,11630,1101
"1988","Suisse","Durée du mariage - total","Suisse",9963,9963,0
"1988","Suisse","Durée du mariage - total","Étranger",2768,1667,1101
"1988","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2699,2498,201
"1988","Suisse","0-4 ans","Suisse",2014,2014,0
"1988","Suisse","0-4 ans","Étranger",685,484,201
"1988","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3270,2998,272
"1988","Suisse","5-9 ans","Suisse",2420,2420,0
"1988","Suisse","5-9 ans","Étranger",850,578,272
"1988","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2039,1870,169
"1988","Suisse","10-14 ans","Suisse",1635,1635,0
"1988","Suisse","10-14 ans","Étranger",404,235,169
"1988","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1934,1759,175
"1988","Suisse","15-19 ans","Suisse",1573,1573,0
"1988","Suisse","15-19 ans","Étranger",361,186,175
"1988","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",2789,2505,284
"1988","Suisse","20 ans ou plus","Suisse",2321,2321,0
"1988","Suisse","20 ans ou plus","Étranger",468,184,284
"1989","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",12721,11490,1231
"1989","Suisse","Durée du mariage - total","Suisse",9755,9755,0
"1989","Suisse","Durée du mariage - total","Étranger",2966,1735,1231
"1989","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2918,2614,304
"1989","Suisse","0-4 ans","Suisse",2062,2062,0
"1989","Suisse","0-4 ans","Étranger",856,552,304
"1989","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3264,2973,291
"1989","Suisse","5-9 ans","Suisse",2384,2384,0
"1989","Suisse","5-9 ans","Étranger",880,589,291
"1989","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2019,1844,175
"1989","Suisse","10-14 ans","Suisse",1605,1605,0
"1989","Suisse","10-14 ans","Étranger",414,239,175
"1989","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1726,1560,166
"1989","Suisse","15-19 ans","Suisse",1383,1383,0
"1989","Suisse","15-19 ans","Étranger",343,177,166
"1989","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",2794,2499,295
"1989","Suisse","20 ans ou plus","Suisse",2321,2321,0
"1989","Suisse","20 ans ou plus","Étranger",473,178,295
"1990","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",13184,11835,1349
"1990","Suisse","Durée du mariage - total","Suisse",9955,9955,0
"1990","Suisse","Durée du mariage - total","Étranger",3229,1880,1349
"1990","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",3128,2809,319
"1990","Suisse","0-4 ans","Suisse",2225,2225,0
"1990","Suisse","0-4 ans","Étranger",903,584,319
"1990","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3473,3132,341
"1990","Suisse","5-9 ans","Suisse",2446,2446,0
"1990","Suisse","5-9 ans","Étranger",1027,686,341
"1990","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2051,1861,190
"1990","Suisse","10-14 ans","Suisse",1605,1605,0
"1990","Suisse","10-14 ans","Étranger",446,256,190
"1990","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1679,1497,182
"1990","Suisse","15-19 ans","Suisse",1326,1326,0
"1990","Suisse","15-19 ans","Étranger",353,171,182
"1990","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",2853,2536,317
"1990","Suisse","20 ans ou plus","Suisse",2353,2353,0
"1990","Suisse","20 ans ou plus","Étranger",500,183,317
"1991","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",13628,12209,1419
"1991","Suisse","Durée du mariage - total","Suisse",10258,10258,0
"1991","Suisse","Durée du mariage - total","Étranger",3370,1951,1419
"1991","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",3386,3005,381
"1991","Suisse","0-4 ans","Suisse",2359,2359,0
"1991","Suisse","0-4 ans","Étranger",1027,646,381
"1991","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3560,3196,364
"1991","Suisse","5-9 ans","Suisse",2521,2521,0
"1991","Suisse","5-9 ans","Étranger",1039,675,364
"1991","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2192,1985,207
"1991","Suisse","10-14 ans","Suisse",1726,1726,0
"1991","Suisse","10-14 ans","Étranger",466,259,207
"1991","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1606,1427,179
"1991","Suisse","15-19 ans","Suisse",1272,1272,0
"1991","Suisse","15-19 ans","Étranger",334,155,179
"1991","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",2884,2596,288
"1991","Suisse","20 ans ou plus","Suisse",2380,2380,0
"1991","Suisse","20 ans ou plus","Étranger",504,216,288
"1992","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",14530,12929,1601
"1992","Suisse","Durée du mariage - total","Suisse",10843,10840,3
"1992","Suisse","Durée du mariage - total","Étranger",3687,2089,1598
"1992","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",3657,3205,452
"1992","Suisse","0-4 ans","Suisse",2510,2507,3
"1992","Suisse","0-4 ans","Étranger",1147,698,449
"1992","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3852,3425,427
"1992","Suisse","5-9 ans","Suisse",2676,2676,0
"1992","Suisse","5-9 ans","Étranger",1176,749,427
"1992","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2389,2131,258
"1992","Suisse","10-14 ans","Suisse",1850,1850,0
"1992","Suisse","10-14 ans","Étranger",539,281,258
"1992","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1673,1494,179
"1992","Suisse","15-19 ans","Suisse",1317,1317,0
"1992","Suisse","15-19 ans","Étranger",356,177,179
"1992","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",2959,2674,285
"1992","Suisse","20 ans ou plus","Suisse",2490,2490,0
"1992","Suisse","20 ans ou plus","Étranger",469,184,285
"1993","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",15054,13304,1750
"1993","Suisse","Durée du mariage - total","Suisse",11228,11185,43
"1993","Suisse","Durée du mariage - total","Étranger",3826,2119,1707
"1993","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",3748,3211,537
"1993","Suisse","0-4 ans","Suisse",2535,2492,43
"1993","Suisse","0-4 ans","Étranger",1213,719,494
"1993","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",4201,3730,471
"1993","Suisse","5-9 ans","Suisse",2954,2954,0
"1993","Suisse","5-9 ans","Étranger",1247,776,471
"1993","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2312,2094,218
"1993","Suisse","10-14 ans","Suisse",1848,1848,0
"1993","Suisse","10-14 ans","Étranger",464,246,218
"1993","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1613,1428,185
"1993","Suisse","15-19 ans","Suisse",1286,1286,0
"1993","Suisse","15-19 ans","Étranger",327,142,185
"1993","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",3180,2841,339
"1993","Suisse","20 ans ou plus","Suisse",2605,2605,0
"1993","Suisse","20 ans ou plus","Étranger",575,236,339
"1994","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",15634,13686,1948
"1994","Suisse","Durée du mariage - total","Suisse",11582,11409,173
"1994","Suisse","Durée du mariage - total","Étranger",4052,2277,1775
"1994","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",3664,2988,676
"1994","Suisse","0-4 ans","Suisse",2482,2309,173
"1994","Suisse","0-4 ans","Étranger",1182,679,503
"1994","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",4535,4057,478
"1994","Suisse","5-9 ans","Suisse",3142,3142,0
"1994","Suisse","5-9 ans","Étranger",1393,915,478
"1994","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2521,2271,250
"1994","Suisse","10-14 ans","Suisse",1964,1964,0
"1994","Suisse","10-14 ans","Étranger",557,307,250
"1994","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1647,1436,211
"1994","Suisse","15-19 ans","Suisse",1309,1309,0
"1994","Suisse","15-19 ans","Étranger",338,127,211
"1994","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",3267,2934,333
"1994","Suisse","20 ans ou plus","Suisse",2685,2685,0
"1994","Suisse","20 ans ou plus","Étranger",582,249,333
"1995","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",15703,13591,2112
"1995","Suisse","Durée du mariage - total","Suisse",11689,11372,317
"1995","Suisse","Durée du mariage - total","Étranger",4014,2219,1795
"1995","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",3347,2600,747
"1995","Suisse","0-4 ans","Suisse",2186,1869,317
"1995","Suisse","0-4 ans","Étranger",1161,731,430
"1995","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",4736,4186,550
"1995","Suisse","5-9 ans","Suisse",3344,3344,0
"1995","Suisse","5-9 ans","Étranger",1392,842,550
"1995","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2695,2408,287
"1995","Suisse","10-14 ans","Suisse",2138,2138,0
"1995","Suisse","10-14 ans","Étranger",557,270,287
"1995","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1689,1490,199
"1995","Suisse","15-19 ans","Suisse",1345,1345,0
"1995","Suisse","15-19 ans","Étranger",344,145,199
"1995","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",3236,2907,329
"1995","Suisse","20 ans ou plus","Suisse",2676,2676,0
"1995","Suisse","20 ans ou plus","Étranger",560,231,329
"1996","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",16172,13822,2350
"1996","Suisse","Durée du mariage - total","Suisse",11966,11520,446
"1996","Suisse","Durée du mariage - total","Étranger",4206,2302,1904
"1996","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2990,2115,875
"1996","Suisse","0-4 ans","Suisse",1921,1475,446
"1996","Suisse","0-4 ans","Étranger",1069,640,429
"1996","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",5125,4481,644
"1996","Suisse","5-9 ans","Suisse",3503,3503,0
"1996","Suisse","5-9 ans","Étranger",1622,978,644
"1996","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2814,2505,309
"1996","Suisse","10-14 ans","Suisse",2220,2220,0
"1996","Suisse","10-14 ans","Étranger",594,285,309
"1996","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1827,1647,180
"1996","Suisse","15-19 ans","Suisse",1495,1495,0
"1996","Suisse","15-19 ans","Étranger",332,152,180
"1996","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",3416,3074,342
"1996","Suisse","20 ans ou plus","Suisse",2827,2827,0
"1996","Suisse","20 ans ou plus","Étranger",589,247,342
"1997","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",17073,14461,2612
"1997","Suisse","Durée du mariage - total","Suisse",12614,12021,593
"1997","Suisse","Durée du mariage - total","Étranger",4459,2440,2019
"1997","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2943,2078,865
"1997","Suisse","0-4 ans","Suisse",1899,1455,444
"1997","Suisse","0-4 ans","Étranger",1044,623,421
"1997","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",5541,4684,857
"1997","Suisse","5-9 ans","Suisse",3716,3567,149
"1997","Suisse","5-9 ans","Étranger",1825,1117,708
"1997","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",3006,2689,317
"1997","Suisse","10-14 ans","Suisse",2370,2370,0
"1997","Suisse","10-14 ans","Étranger",636,319,317
"1997","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1995,1789,206
"1997","Suisse","15-19 ans","Suisse",1621,1621,0
"1997","Suisse","15-19 ans","Étranger",374,168,206
"1997","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",3588,3221,367
"1997","Suisse","20 ans ou plus","Suisse",3008,3008,0
"1997","Suisse","20 ans ou plus","Étranger",580,213,367
"1998","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",17868,14658,3210
"1998","Suisse","Durée du mariage - total","Suisse",13208,12116,1092
"1998","Suisse","Durée du mariage - total","Étranger",4660,2542,2118
"1998","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",3079,2141,938
"1998","Suisse","0-4 ans","Suisse",2035,1521,514
"1998","Suisse","0-4 ans","Étranger",1044,620,424
"1998","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",5852,4631,1221
"1998","Suisse","5-9 ans","Suisse",3867,3419,448
"1998","Suisse","5-9 ans","Étranger",1985,1212,773
"1998","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",3184,2793,391
"1998","Suisse","10-14 ans","Suisse",2520,2473,47
"1998","Suisse","10-14 ans","Étranger",664,320,344
"1998","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",2077,1842,235
"1998","Suisse","15-19 ans","Suisse",1714,1677,37
"1998","Suisse","15-19 ans","Étranger",363,165,198
"1998","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",3676,3251,425
"1998","Suisse","20 ans ou plus","Suisse",3072,3026,46
"1998","Suisse","20 ans ou plus","Étranger",604,225,379
"1999","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",20809,16717,4092
"1999","Suisse","Durée du mariage - total","Suisse",15369,13862,1507
"1999","Suisse","Durée du mariage - total","Étranger",5440,2855,2585
"1999","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",3273,2202,1071
"1999","Suisse","0-4 ans","Suisse",2177,1568,609
"1999","Suisse","0-4 ans","Étranger",1096,634,462
"1999","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",6781,5057,1724
"1999","Suisse","5-9 ans","Suisse",4446,3701,745
"1999","Suisse","5-9 ans","Étranger",2335,1356,979
"1999","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",3826,3372,454
"1999","Suisse","10-14 ans","Suisse",2995,2956,39
"1999","Suisse","10-14 ans","Étranger",831,416,415
"1999","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",2494,2204,290
"1999","Suisse","15-19 ans","Suisse",2067,2024,43
"1999","Suisse","15-19 ans","Étranger",427,180,247
"1999","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",4435,3882,553
"1999","Suisse","20 ans ou plus","Suisse",3684,3613,71
"1999","Suisse","20 ans ou plus","Étranger",751,269,482
"2000","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",10511,8273,2238
"2000","Suisse","Durée du mariage - total","Suisse",7558,6739,819
"2000","Suisse","Durée du mariage - total","Étranger",2953,1534,1419
"2000","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",1645,1067,578
"2000","Suisse","0-4 ans","Suisse",1016,754,262
"2000","Suisse","0-4 ans","Étranger",629,313,316
"2000","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3378,2415,963
"2000","Suisse","5-9 ans","Suisse",2139,1669,470
"2000","Suisse","5-9 ans","Étranger",1239,746,493
"2000","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",1972,1708,264
"2000","Suisse","10-14 ans","Suisse",1511,1481,30
"2000","Suisse","10-14 ans","Étranger",461,227,234
"2000","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1258,1100,158
"2000","Suisse","15-19 ans","Suisse",1025,1003,22
"2000","Suisse","15-19 ans","Étranger",233,97,136
"2000","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",2258,1983,275
"2000","Suisse","20 ans ou plus","Suisse",1867,1832,35
"2000","Suisse","20 ans ou plus","Étranger",391,151,240
"2001","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",15778,12595,3183
"2001","Suisse","Durée du mariage - total","Suisse",11742,10473,1269
"2001","Suisse","Durée du mariage - total","Étranger",4036,2122,1914
"2001","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2137,1493,644
"2001","Suisse","0-4 ans","Suisse",1408,1089,319
"2001","Suisse","0-4 ans","Étranger",729,404,325
"2001","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",4883,3398,1485
"2001","Suisse","5-9 ans","Suisse",3200,2390,810
"2001","Suisse","5-9 ans","Étranger",1683,1008,675
"2001","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",3334,2899,435
"2001","Suisse","10-14 ans","Suisse",2579,2539,40
"2001","Suisse","10-14 ans","Étranger",755,360,395
"2001","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1965,1731,234
"2001","Suisse","15-19 ans","Suisse",1625,1584,41
"2001","Suisse","15-19 ans","Étranger",340,147,193
"2001","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",3459,3074,385
"2001","Suisse","20 ans ou plus","Suisse",2930,2871,59
"2001","Suisse","20 ans ou plus","Étranger",529,203,326
"2002","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",16363,12975,3388
"2002","Suisse","Durée du mariage - total","Suisse",12203,10811,1392
"2002","Suisse","Durée du mariage - total","Étranger",4160,2164,1996
"2002","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2152,1460,692
"2002","Suisse","0-4 ans","Suisse",1443,1076,367
"2002","Suisse","0-4 ans","Étranger",709,384,325
"2002","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",4988,3471,1517
"2002","Suisse","5-9 ans","Suisse",3241,2415,826
"2002","Suisse","5-9 ans","Étranger",1747,1056,691
"2002","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",3455,2940,515
"2002","Suisse","10-14 ans","Suisse",2681,2585,96
"2002","Suisse","10-14 ans","Étranger",774,355,419
"2002","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",2225,1965,260
"2002","Suisse","15-19 ans","Suisse",1839,1795,44
"2002","Suisse","15-19 ans","Étranger",386,170,216
"2002","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",3543,3139,404
"2002","Suisse","20 ans ou plus","Suisse",2999,2940,59
"2002","Suisse","20 ans ou plus","Étranger",544,199,345
"2003","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",16799,13136,3663
"2003","Suisse","Durée du mariage - total","Suisse",12391,10816,1575
"2003","Suisse","Durée du mariage - total","Étranger",4408,2320,2088
"2003","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2124,1419,705
"2003","Suisse","0-4 ans","Suisse",1349,973,376
"2003","Suisse","0-4 ans","Étranger",775,446,329
"2003","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",5117,3481,1636
"2003","Suisse","5-9 ans","Suisse",3281,2371,910
"2003","Suisse","5-9 ans","Étranger",1836,1110,726
"2003","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",3418,2820,598
"2003","Suisse","10-14 ans","Suisse",2613,2447,166
"2003","Suisse","10-14 ans","Étranger",805,373,432
"2003","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",2345,2058,287
"2003","Suisse","15-19 ans","Suisse",1917,1876,41
"2003","Suisse","15-19 ans","Étranger",428,182,246
"2003","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",3795,3358,437
"2003","Suisse","20 ans ou plus","Suisse",3231,3149,82
"2003","Suisse","20 ans ou plus","Étranger",564,209,355
"2004","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",17949,13962,3987
"2004","Suisse","Durée du mariage - total","Suisse",13246,11469,1777
"2004","Suisse","Durée du mariage - total","Étranger",4703,2493,2210
"2004","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2157,1400,757
"2004","Suisse","0-4 ans","Suisse",1371,933,438
"2004","Suisse","0-4 ans","Étranger",786,467,319
"2004","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",5249,3510,1739
"2004","Suisse","5-9 ans","Suisse",3320,2334,986
"2004","Suisse","5-9 ans","Étranger",1929,1176,753
"2004","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",3764,3071,693
"2004","Suisse","10-14 ans","Suisse",2879,2633,246
"2004","Suisse","10-14 ans","Étranger",885,438,447
"2004","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",2606,2293,313
"2004","Suisse","15-19 ans","Suisse",2135,2104,31
"2004","Suisse","15-19 ans","Étranger",471,189,282
"2004","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",4173,3688,485
"2004","Suisse","20 ans ou plus","Suisse",3541,3465,76
"2004","Suisse","20 ans ou plus","Étranger",632,223,409
"2005","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",21332,16448,4884
"2005","Suisse","Durée du mariage - total","Suisse",15703,13460,2243
"2005","Suisse","Durée du mariage - total","Étranger",5629,2988,2641
"2005","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2174,1340,834
"2005","Suisse","0-4 ans","Suisse",1295,824,471
"2005","Suisse","0-4 ans","Étranger",879,516,363
"2005","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",6171,4011,2160
"2005","Suisse","5-9 ans","Suisse",3716,2485,1231
"2005","Suisse","5-9 ans","Étranger",2455,1526,929
"2005","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",4302,3350,952
"2005","Suisse","10-14 ans","Suisse",3337,2919,418
"2005","Suisse","10-14 ans","Étranger",965,431,534
"2005","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",3322,2967,355
